58
Sic          0.0	0.148	0.08	0.179	0.2	0.115	0.214	0.28	0.37	0.37	0.227	0.217	0.261	0.25	0.25	0.333	0.25	0.25	0.28	0.273	0.273	0.238	0.273	0.36	0.36	0.318	0.286	0.286	0.381	0.381	0.667	0.667	0.545	0.5	0.444	0.4	0.545	0.571	0.5	0.524	0.524	0.476	0.476	0.5	0.5	0.5	0.524	0.5	0.5	0.5	0.5	0.45	0.5	0.52	0.577	0.619	0.45	0.45
NCa          0.148	0.0	0.111	0.2	0.286	0.207	0.172	0.24	0.333	0.333	0.292	0.28	0.32	0.28	0.24	0.296	0.24	0.24	0.296	0.273	0.273	0.238	0.273	0.385	0.385	0.348	0.318	0.318	0.409	0.409	0.7	0.7	0.583	0.545	0.346	0.36	0.583	0.571	0.5	0.524	0.524	0.476	0.5	0.5	0.5	0.5	0.524	0.5	0.5	0.5	0.5	0.476	0.48	0.5	0.593	0.619	0.45	0.45
It          0.08	0.111	0.0	0.172	0.192	0.111	0.172	0.308	0.357	0.357	0.25	0.24	0.28	0.269	0.2	0.286	0.2	0.2	0.321	0.261	0.261	0.227	0.261	0.407	0.407	0.318	0.286	0.286	0.381	0.381	0.667	0.667	0.545	0.5	0.407	0.36	0.565	0.571	0.5	0.524	0.524	0.476	0.476	0.5	0.5	0.5	0.524	0.5	0.5	0.5	0.5	0.45	0.5	0.52	0.593	0.619	0.45	0.45
Sp          0.179	0.2	0.172	0.0	0.185	0.071	0.226	0.296	0.286	0.286	0.25	0.167	0.208	0.2	0.24	0.286	0.24	0.24	0.286	0.261	0.261	0.227	0.261	0.37	0.37	0.273	0.238	0.2	0.381	0.381	0.556	0.556	0.455	0.4	0.448	0.464	0.583	0.571	0.5	0.524	0.524	0.476	0.5	0.455	0.455	0.455	0.476	0.45	0.45	0.45	0.45	0.476	0.417	0.44	0.607	0.636	0.45	0.45
Fr          0.2	0.286	0.192	0.185	0.0	0.154	0.25	0.333	0.346	0.346	0.273	0.261	0.304	0.292	0.292	0.333	0.292	0.292	0.37	0.348	0.348	0.348	0.348	0.333	0.333	0.3	0.263	0.222	0.429	0.429	0.571	0.571	0.5	0.444	0.481	0.417	0.609	0.636	0.526	0.571	0.591	0.545	0.545	0.524	0.524	0.524	0.55	0.526	0.526	0.526	0.526	0.524	0.522	0.52	0.6	0.571	0.5	0.5
Ptg          0.115	0.207	0.111	0.071	0.154	0.0	0.233	0.308	0.357	0.357	0.25	0.167	0.208	0.2	0.24	0.286	0.24	0.24	0.321	0.261	0.261	0.227	0.261	0.37	0.37	0.318	0.286	0.25	0.381	0.381	0.667	0.667	0.545	0.5	0.483	0.444	0.565	0.571	0.5	0.524	0.524	0.476	0.476	0.5	0.5	0.5	0.524	0.5	0.5	0.5	0.5	0.45	0.458	0.48	0.593	0.636	0.45	0.45
Rm          0.214	0.172	0.172	0.226	0.25	0.233	0.0	0.269	0.345	0.345	0.308	0.269	0.308	0.296	0.222	0.29	0.25	0.241	0.29	0.304	0.304	0.304	0.304	0.393	0.393	0.318	0.286	0.25	0.381	0.381	0.667	0.667	0.583	0.545	0.357	0.37	0.615	0.591	0.5	0.545	0.545	0.5	0.5	0.522	0.522	0.522	0.545	0.524	0.524	0.524	0.524	0.476	0.458	0.48	0.593	0.652	0.45	0.45
CG          0.28	0.24	0.308	0.296	0.333	0.308	0.269	0.0	0.167	0.167	0.273	0.261	0.304	0.217	0.292	0.308	0.292	0.292	0.32	0.238	0.238	0.238	0.238	0.333	0.333	0.364	0.333	0.286	0.455	0.455	0.667	0.667	0.583	0.545	0.423	0.44	0.545	0.55	0.5	0.524	0.5	0.524	0.545	0.476	0.476	0.476	0.5	0.474	0.474	0.474	0.474	0.524	0.609	0.625	0.5	0.579	0.421	0.421
Grk          0.37	0.333	0.357	0.286	0.346	0.357	0.345	0.167	0.0	0.0	0.25	0.24	0.28	0.2	0.269	0.286	0.269	0.269	0.267	0.167	0.167	0.167	0.167	0.36	0.36	0.318	0.286	0.238	0.435	0.435	0.556	0.556	0.5	0.455	0.414	0.5	0.5	0.524	0.476	0.5	0.476	0.5	0.542	0.429	0.429	0.429	0.45	0.421	0.421	0.421	0.421	0.522	0.636	0.565	0.577	0.6	0.4	0.4
CyG          0.37	0.333	0.357	0.286	0.346	0.357	0.345	0.167	0.0	0.0	0.25	0.24	0.28	0.2	0.269	0.286	0.269	0.269	0.267	0.167	0.167	0.167	0.167	0.36	0.36	0.318	0.286	0.238	0.435	0.435	0.556	0.556	0.5	0.455	0.414	0.5	0.5	0.524	0.476	0.5	0.476	0.5	0.542	0.429	0.429	0.429	0.45	0.421	0.421	0.421	0.421	0.522	0.636	0.565	0.577	0.6	0.4	0.4
E          0.227	0.292	0.25	0.25	0.273	0.25	0.308	0.273	0.25	0.25	0.0	0.125	0.087	0.16	0.12	0.192	0.12	0.12	0.296	0.227	0.227	0.227	0.227	0.304	0.304	0.35	0.316	0.278	0.368	0.368	0.714	0.714	0.556	0.5	0.44	0.417	0.524	0.526	0.412	0.474	0.474	0.421	0.474	0.5	0.5	0.5	0.526	0.471	0.5	0.5	0.5	0.474	0.5	0.526	0.583	0.579	0.444	0.444
Du          0.217	0.28	0.24	0.167	0.261	0.167	0.269	0.261	0.24	0.24	0.125	0.0	0.043	0.042	0.12	0.154	0.12	0.12	0.259	0.182	0.182	0.182	0.182	0.292	0.292	0.3	0.263	0.222	0.316	0.316	0.714	0.714	0.556	0.5	0.444	0.423	0.565	0.55	0.444	0.5	0.5	0.45	0.5	0.524	0.524	0.524	0.55	0.5	0.526	0.526	0.526	0.5	0.474	0.5	0.56	0.619	0.389	0.389
Afk          0.261	0.32	0.28	0.208	0.304	0.208	0.308	0.304	0.28	0.28	0.087	0.043	0.0	0.083	0.16	0.192	0.16	0.16	0.296	0.227	0.227	0.227	0.227	0.333	0.333	0.35	0.316	0.278	0.368	0.368	0.714	0.714	0.556	0.5	0.462	0.44	0.545	0.526	0.412	0.474	0.474	0.421	0.474	0.5	0.5	0.5	0.526	0.471	0.5	0.5	0.5	0.474	0.444	0.474	0.6	0.6	0.444	0.444
D          0.25	0.28	0.269	0.2	0.292	0.2	0.296	0.217	0.2	0.2	0.16	0.042	0.083	0.0	0.154	0.115	0.154	0.154	0.286	0.136	0.136	0.174	0.174	0.25	0.25	0.333	0.3	0.263	0.35	0.35	0.75	0.75	0.6	0.556	0.444	0.423	0.565	0.55	0.444	0.5	0.5	0.45	0.524	0.524	0.524	0.524	0.55	0.5	0.526	0.526	0.526	0.524	0.5	0.524	0.56	0.619	0.389	0.389
Da          0.25	0.24	0.2	0.24	0.292	0.24	0.222	0.292	0.269	0.269	0.12	0.12	0.16	0.154	0.0	0.111	0.038	0.074	0.276	0.182	0.182	0.182	0.182	0.32	0.32	0.3	0.263	0.222	0.316	0.316	0.714	0.714	0.556	0.5	0.407	0.385	0.583	0.55	0.444	0.5	0.5	0.45	0.5	0.524	0.524	0.524	0.55	0.5	0.526	0.526	0.526	0.5	0.526	0.55	0.577	0.619	0.389	0.389
