Hu-Est	Hu-Est	744.1965410955166	0.312
Hu-Fin	Hu-Fin	787.6056535221564	0.3
Hu-mM	Hu-mM	1183.941672530102	0.238
Hu-Ud	Hu-Ud	1354.928070412529	0.273
Hu-Ev1	Hu-Ev1	3232.4525591165325	0.333
Hu-Ev2	Hu-Ev2	3320.4226521203045	0.333
Hu-Evk	Hu-Ek	3720.045019423338	0.333
Hu-Ya	Hu-Ya	3440.7785302513093	0.263
Hu-Uz	Hu-Uz	2145.494103684134	0.316
Hu-Kaz	Hu-Kaz	2394.0276101980244	0.316
Hu-Kyr	Hu-Kyr	2314.293888183779	0.316
Hu-Tur	Hu-Tur	750.0954061240492	0.316
Hu-Bur	Hu-Bur	3230.6646628036374	0.381
Kh-Est	Kh-Est	1216.1053427998945	0.375
Kh-Fin	Kh-Fin	1189.6305205992023	0.263
Kh-mM	Kh-mM	718.3048979014906	0.2
Kh-Ud	Kh-Ud	577.153994914823	0.238
Kh-Ev1	Kh-Ev1	1505.8281762877805	0.35
Kh-Ev2	Kh-Ev2	1557.206250600439	0.35
Kh-Evk	Kh-Ek	1884.9288087162324	0.35
Kh-Ya	Kh-Ya	1642.9193822081895	0.176
Kh-Uz	Kh-Uz	1345.857471784718	0.235
Kh-Kaz	Kh-Kaz	1272.6063818156695	0.235
Kh-Kyr	Kh-Kyr	1275.1694804880822	0.235
Kh-Tur	Kh-Tur	1868.9734049681063	0.235
Kh-Bur	Kh-Bur	1441.5666901754453	0.316
Est-mM	Est-mM	756.5791177947364	0.25
Est-Ud	Est-Ud	897.0175991108005	0.25
Est-Ev1	Est-Ev1	2508.598228521635	0.412
Est-Ev2	Est-Ev2	2605.3239748118413	0.412
Est-Evk	Est-Ek	3051.455664215261	0.412
Est-Ya	Est-Ya	2738.3729485117365	0.438
Est-Uz	Est-Uz	1966.4548370369534	0.4
Est-Kaz	Est-Kaz	2111.1941421661177	0.4
Est-Kyr	Est-Kyr	2057.0133205817774	0.4
Est-Tur	Est-Tur	1210.1371054403219	0.4
Est-Bur	Est-Bur	2656.7334421212017	0.412
Fin-mM	Fin-mM	755.0027763556044	0.2
Fin-Ud	Fin-Ud	889.9276547128437	0.2
Fin-Ev1	Fin-Ev1	2468.840327727504	0.35
Fin-Ev2	Fin-Ev2	2566.582291934081	0.35
Fin-Evk	Fin-Ek	3017.141222223132	0.35
Fin-Ya	Fin-Ya	2700.9565596200637	0.368
Fin-Uz	Fin-Uz	1971.5294633158444	0.333
Fin-Kaz	Fin-Kaz	2108.746921648704	0.333
Fin-Kyr	Fin-Kyr	2056.586072324373	0.333
Fin-Tur	Fin-Tur	1250.0862702438967	0.333
Fin-Bur	Fin-Bur	2631.029498191073	0.316
mM-Ud	mM-Ud	171.2161039980213	0.048
mM-Ev1	mM-Ev1	2218.088588439853	0.238
mM-Ev2	mM-Ev2	2274.6383810043894	0.238
mM-Evk	mM-Ek	2583.3437751086594	0.238
mM-Ya	mM-Ya	2360.55096068713	0.25
mM-Uz	mM-Uz	1227.0732626565718	0.211
mM-Kaz	mM-Kaz	1354.6594764173415	0.211
mM-Kyr	mM-Kyr	1301.651961904143	0.211
mM-Tur	mM-Tur	1154.5726218043396	0.211
mM-Bur	mM-Bur	2048.2084654738323	0.286
Ud-Ev1	Ud-Ev1	2082.9300363201028	0.273
Ud-Ev2	Ud-Ev2	2132.576903847414	0.273
Ud-Evk	Ud-Ek	2421.6562432542423	0.273
Ud-Ya	Ud-Ya	2210.990366475863	0.286
Ud-Uz	Ud-Uz	1133.6322945999816	0.25
Ud-Kaz	Ud-Kaz	1225.0054628260602	0.25
Ud-Kyr	Ud-Kyr	1180.4748892456619	0.25
Ud-Tur	Ud-Tur	1293.724030071625	0.25
Ud-Bur	Ud-Bur	1877.5290037548934	0.238
Ev1-Ya	Ev1-Ya	345.63483348803925	0.19
Ev1-Uz	Ev1-Uz	2494.9025554419677	0.15
Ev1-Kaz	Ev1-Kaz	2225.623426043664	0.15
Ev1-Kyr	Ev1-Kyr	2294.2054396306985	0.15
Ev1-Tur	Ev1-Tur	3372.436908167032	0.15
Ev1-Bur	Ev1-Bur	1164.648313354231	0.286
Ev2-Ya	Ev2-Ya	195.10127326708425	0.19
Ev2-Uz	Ev2-Uz	2469.362738103009	0.15
Ev2-Kaz	Ev2-Kaz	2184.8328984806353	0.15
Ev2-Kyr	Ev2-Kyr	2258.5322190989664	0.15
Ev2-Tur	Ev2-Tur	3425.977275781861	0.15
Ev2-Bur	Ev2-Bur	1058.1656172269031	0.286
Evk-Ya	Ek-Ya	440.54778483787794	0.19
Evk-Uz	Ek-Uz	2441.5483611816217	0.15
Evk-Kaz	Ek-Kaz	2106.297224076915	0.15
Evk-Kyr	Ek-Kyr	2198.1179306995896	0.15
Evk-Tur	Ek-Tur	3688.273728006208	0.15
Evk-Bur	Ek-Bur	778.7774725548473	0.286
Ya-Bur	Ya-Bur	939.3506847507418	0.211
Uz-Bur	Uz-Bur	1680.421680131832	0.211
Kaz-Bur	Kaz-Bur	1336.365761271823	0.167
Kyr-Bur	Kyr-Bur	1431.315901387587	0.167
Tur-Bur	Tur-Bur	3060.4440619605452	0.167
