TableS1,,,,,,,,
Language,Label ,Glottocode,Iso 639-3 Code,Top-level family,Family,Location,Latitude,Longitude
Afrikaans,Afk,afri1274,afr,Indo-European,Germanic,Cape Town,-33.91,18.42
Arabic,Ar,stan1318,arb,Afroasiatic,Semitic,Riyad,24.71,46.72
Archi,Arc,arch1244,aqc,NE-Caucasian,/,Machačkala,42.01,47.26
Basque_Central,cB,guip1235,eus,Basque,Guipuzcoan,Vitoria-Gasteiz,42.85,-2.68
Basque_Western,wB,bisc1236,eus,Basque,Biskayan,Bilbao,43.26,-2.93
Bulgarian,Blg,bulg1262,bul,Indo-European,Slavic,Sofia,42.7,23.32
Buryat,Bur,buri1258,bua,Mongolic,Eastern Mongolic ,Ulan-Ude,51.82,107.61
Calabrese_Northern,NCA,sout3126,nap,Indo-European,Romance,Verbicaro,39.75,15.19
Cantonese,Can,cant1236,yue,Sino-Tibetan,Sinitic,Hong Kong ,22.4,114.11
Danish,Da,dani1285,dan,Indo-European,Germanic,Copenhagen,55.68,12.57
Dutch,Du,dutc1256,nld,Indo-European,Germanic,Amsterdam,52.37,4.89
English,E,stan1293,eng,Indo-European,Germanic,London,51.51,-0.13
Estonian,Est,esto1258,ekk,Uralic,Balto-Finnic,Tallinn,59.44,24.75
Even_1,Ev1,even1260,eve,Tungusic,Northern Tungusic ,Kustur,67.79,130.4
Even_2,Ev2,even1260,eve,Tungusic,Northern Tungusic ,Sebyan-Kyuyol ,65.29,130.01
Evenki,Ek,even1259,evn,Tungusic,Northwestern Tungusic,Bomnak,54.71,128.86
Faroese,Fa,faro1244,fao,Indo-European,Germanic,Tórshavn,62.01,-6.77
Finnish,Fin,finn1318,fin,Uralic,Balto-Finnic,Helsinki,60.17,24.94
French,Fr,stan1290,fra,Indo-European,Romance,Paris,48.86,2.35
German,D,stan1295,deu,Indo-European,Germanic,Berlin,52.52,13.4
Greek,Grk,mode1248,ell,Indo-European,Greek,Athens,37.98,23.73
Greek_Calabria,CG,aspr1238,ell,Indo-European,Greek,Bova Marina,37.93,15.55
Greek_Cypriot,CyG,cypr1249,ell,Indo-European,Greek,Larnaca,34.09,33.62
Hebrew,Heb,hebr1245,heb,Afroasiatic,Semitic,Tel Aviv,32.11,34.85
Hindi,Hi,hind1269,hin,Indo-European,Indo-Aryan,New Delhi,28.61,77.21
Hungarian,Hu,hung1274,hun,Uralic,Ugric,Budapest,47.5,19.04
Icelandic,Ice,icel1247,isl,Indo-European,Germanic,Reykjavik,64.14,-21.94
Irish,Ir,iris1253,gle,Indo-European,Celtic,Dublin,53.35,-6.26
Italian,It,ital1282,ita,Indo-European,Romance,Rome,41.9,12.5
Japanese,Jap,nucl1643,jpn,Japonic,/,Tokyo ,35.69,139.69
Kazakh,Kaz,kaza1248,kaz,Turkic,Kipchak,Almaty,43.22,76.85
Khanty,Kh,khan1279,kca,Uralic,Ugric,Kazym,63.7,67.24
Korean,Kor,kore1280,kor,Koreanic,/,Seoul ,37.57,126.98
Kirghiz,Kyr,kirg1245,kir,Turkic,Kipchak,Bishkek,42.87,74.57
Lak,Lak,lakk1252,lbe,NE-Caucasian,/,Kumukh,42.54,47.89
Malagasy,Mal,plat1254,plt,Austronesian,Malayo-Polynesian,Antananarivo,-18.88,47.51
Mandarin,Man,mand1415,cmn,Sino-Tibetan,Sinitic,Beijing ,39.9,116.41
Marathi,Ma,mara1378,mar,Indo-European,Indo-Aryan,Mumbai,19.08,72.88
Mari,mM,mari1278,chm,Uralic,Volgaic,Shap,56.44,47.96
Norwegian,Nor,norw1258,nor,Indo-European,Germanic,Oslo,59.91,10.75
Pashto,Pas,pash1269,pus,Indo-European,Iranian,Khyber Pass,34.09,71.16
Polish,Po,poli1260,pol,Indo-European,Slavic,Warsaw,52.23,21.01
Portuguese,Ptg,port1283,por,Indo-European,Romance,Lisbon,38.72,-9.1
Romanian,Rm,roma1327,ron,Indo-European,Romance,Bucharest,44.43,26.1
Russian,Rus,russ1263,rus,Indo-European,Slavic,Moscow,55.76,37.62
Serbo-Croatian,SC,sout1528,hbs,Indo-European,Slavic,Zagreb,45.82,15.98
Siciliano,Sic,cent1963,scn,Indo-European,Romance,Mussomeli,37.57,13.75
Slovenian,Slo,slov1268,slv,Indo-European,Slavic,Ljubljana,46.06,14.51
Spanish,Sp,stan1288,spa,Indo-European,Romance,Madrid,40.42,-3.7
Tamil,Ta,tami1289,tam,Dravidian ,/,Madras ,13.08,80.27
Telugu,Te,telu1262,tel,Dravidian,/,Hyderabad,17.39,78.49
Turkish,Tur,nucl1301,tur,Turkic,Oghuz,Ankara,39.93,32.86
Udmurt,Ud,udmu1245,udm,Uralic,Permic,Chur,57.07,53.03
Uzbek,Uz,uzbe1247,uzb,Turkic,Turkestan Turkic,Tashkent,41.3,69.24
Welsh,Wel,wels1247,cym,Indo-European,Celtic,Cardiff,51.48,-3.18
Wolof,Wo,nucl1347,wol,Niger-Congo,West Atlantic,Dakar,14.69,-17.44
Yakut,Ya,yaku1245,sah,Turkic,North Siberian Turkic,Yakutsk,62.04,129.68
Yukaghir,Yu,yuka1259,yux,Yukaghir,Kolmic (Southern Yukaghir),Kolyma,65.5,151.09
